nama_cabang,id_ruko,kemiskinan, proporsi_pria , proporsi_wanita ,penduduk, proporsi_usia_produktif ,umk,lebar_ruko,jumlah_fasilitas_belanja, jumlah_toko_ponsel , dekat_fasilitas_transportasi_publik , jumlah_pasar_tradisional , jumlah_restoran , jumlah_kompetitor , dekat_layanan_keuangan , jumlah_bangunan , kategori_wilayah , jalan , jarak_pasar ,lat,lon, avg_omzet ,lat_komp,lon_komp,umk_local_coef,penduduk_local_coef,kemiskinan_local_coef,jumlah_kompetitor_local_coef,jumlah_pasar_tradisional_local_coef,jarak_pasar_local_coef,lebar_ruko_local_coef,jumlah_bangunan_local_coef,commercial_hub_index_local_coef,premium_spot_score_local_coef,comp_per_pop_local_coef
SBM006,166,0.08,  0.51 ,  0.49 ,37801,  0.68 ,3018634,350,6,3,1,0,0,1,1,"  2,544 ",Perdesaan, trunk ,  - ,-6.902663,106.883677,"  379,725,000 ",-6.903823,106.885872,0.02317576177,-0.1346533659,-0.02769238205,0.1124661632,-0.01883309623,0.02717070962,0.1244284142,0.02759639107,0.2177471427,0.1328631179,-0.005762564665
PWT001,3029,0.12,  0.50 ,  0.50 ,66502,  0.69 ,2338410,500,8,7,1,2,0,0,1,"  2,529 ",Perdesaan, trunk ,  - ,-7.512535,109.058137,"  330,975,000 ",-7.517304,109.056000,0.2140227065,0.1103416813,-0.02029509611,0.09338535672,0.07489715807,0.02601810177,-0.02027723113,-0.01428169578,0.1454164033,-0.03538479581,-0.01485205888
BKS004,238,0.04,  0.50 ,  0.50 ,204915,  0.70 ,5690752,450,9,8,1,1,0,2,1,"  2,465 ",Perdesaan, primary ,  - ,-6.228714,106.977099,"  621,166,667 ",-6.229821,106.976250,0.6208215054,-0.1278557637,-0.04475859322,0.1630013629,0.01835425742,0.08494787743,0.7260204467,-0.01499088859,0.254990844,-0.5479248126,-0.01707052306
PBG001,3838,0.15,  0.50 ,  0.50 ,45050,  0.69 ,2338283,680,6,5,1,0,1,0,1,"  2,448 ",Perdesaan, primary ,  - ,-7.380965,109.358579,"  131,058,333 ",-7.386491,109.358444,0.2229146091,0.1105556097,-0.02108729729,0.1003714066,0.07684912541,0.01916190621,-0.02281712885,-0.01644562372,0.1427384311,-0.04111958789,-0.01456088277
BBS004,3525,0.16,  0.49 ,  0.51 ,123020,  0.69 ,2239801,500,4,3,1,0,0,1,1,"  2,444 ",Perdesaan, primary ,  - ,-6.947053,108.967444,"  268,200,000 ",-6.947226,108.969498,0.2315324639,0.0811648546,-0.007181407789,0.1082164087,0.07431955657,0.03450632231,-0.02989251245,-0.02346725643,0.1452521811,-0.04323380258,-0.01546070916
KNG002,1212,0.12,  0.51 ,  0.49 ,73534,  0.68 ,2209519,350,5,4,1,3,1,1,1,"  2,430 ",Perdesaan, secondary ,  - ,-6.972304,108.577782,"  524,916,667 ",-6.970767,108.577888,0.2294726869,0.06043994405,0.01419861546,0.1032035811,0.06718688923,0.054643702,-0.02958819031,-0.0183916443,0.1464863026,-0.03591066593,-0.01491124413
SBR021,3426,0.12,  0.50 ,  0.50 ,55938,  0.70 ,2681382,500,4,3,1,0,0,0,1,"  2,398 ",Perdesaan, primary ,  - ,-6.758665,108.497940,"  231,875,000 ",-6.758606,108.490479,0.2390768282,0.03765082208,0.03306593261,0.1148538425,0.06223636422,0.06787971919,-0.03454507545,-0.02133029376,0.1455502235,-0.0380063591,-0.01500615046
TNG017,81,0.05,  0.51 ,  0.49 ,110178,  0.72 ,5069708,300,3,1,1,0,0,0,1,"  2,395 ",Perdesaan, primary ,  - ,-6.161595,106.599094,"  199,883,333 ",-6.167866,106.599014,0.8478152907,-0.06789701846,-0.001655746041,0.1968947363,0.05022682341,0.1110376045,0.3406233404,-0.03232845697,0.3312907964,-0.02169474263,-2.407.168.517.756.000
BKS045,159,0.04,  0.50 ,  0.50 ,185226,  0.71 ,5690752,400,4,3,1,0,0,0,1,"  2,376 ",Perdesaan, secondary ,  - ,-6.317848,106.962256,"  584,808,333 ",-6.319733,106.968277,0.5827033953,-0.1332371251,-0.01767778527,0.1669175748,0.009908443539,0.08147093613,0.5229573455,-0.003065761525,0.2535830378,-0.3090473897,-0.01626114256
SBR004,922,0.12,  0.51 ,  0.49 ,62747,  0.69 ,2681382,400,0,2,1,1,0,1,1,"  2,366 ",Perdesaan, trunk ,  - ,-6.757817,108.594571,"  305,225,000 ",-6.756568,108.593620,0.2385992734,0.04290429377,0.02150052746,0.1154490983,0.06545228307,0.05953348779,-0.03477506278,-0.02440822982,0.1456375007,-0.04068536842,-0.01545781996
TNG026,293,0.05,  0.50 ,  0.50 ,145013,  0.70 ,5069708,500,6,7,1,0,0,3,1,"  2,349 ",Perdesaan, trunk ,  - ,-6.185657,106.614172,"  399,483,333 ",-6.185722,106.613136,0.8839284141,-0.07072144365,0.001498193865,0.2004097665,0.04615154094,0.1063135084,0.3402960148,-0.03267844972,0.3284477779,-0.02736733615,-23.830.806.573.866.000
KWG013,192,0.08,  0.51 ,  0.49 ,92941,  0.70 ,5599593,450,8,11,1,0,0,2,1,"  2,266 ",Perdesaan, trunk ,  284.07 ,-6.407266,107.456947,"  381,175,000 ",-6.407189,107.456688,0.1722409322,-0.0917152701,-0.008441250954,0.2319787897,0.07564627544,0.02069559806,-0.0457708958,0.07143179927,0.01506849699,0.05347966843,-0.01833507018
KNG001,915,0.12,  0.50 ,  0.50 ,38462,  0.68 ,2209519,500,7,9,0,2,0,2,1,"  2,248 ",Perdesaan, residential ,  - ,-6.931144,108.487622,"  429,616,667 ",-6.930786,108.487198,0.2313008072,0.05293317971,0.02572761831,0.1038319612,0.06414301224,0.06269892842,-0.03013954349,-0.01606893075,0.1462623906,-0.03425621611,-0.01455257748
CBI003,339,0.07,  0.50 ,  0.50 ,215123,  0.71 ,4877211,600,5,1,1,0,0,1,1,"  2,236 ",Perdesaan, primary ,  - ,-6.395214,106.969964,"  473,900,000 ",-6.399089,106.969025,0.4434891362,-0.1507774172,-0.001168256619,0.1659125317,0.001877196898,0.07873728303,0.3167120879,0.01573699199,0.2468389674,-0.06774245172,-0.01485690461
KWG015,200,0.08,  0.51 ,  0.49 ,92941,  0.70 ,5599593,400,8,14,1,1,0,3,1,"  2,162 ",Perdesaan, tertiary ,  411.67 ,-6.404606,107.458919,"  593,033,333 ",-6.404085,107.459045,0.1725311689,-0.09272816785,-0.01037188333,0.2319996879,0.07533199443,0.0209472421,-0.04552554695,0.07099449057,0.01562359285,0.05326589422,-0.01834615237
CPT007,355,0.02,  0.50 ,  0.50 ,235724,  0.72 ,4974392,400,4,4,1,0,0,1,1,"  2,160 ",Perdesaan, secondary ,  - ,-6.262955,106.728127,"  542,141,667 ",-6.259923,106.708580,0.9194721169,-0.08513080535,-0.004406268386,0.1730921068,0.02650250861,0.08614137856,0.3637362958,-0.02546333187,0.3028510118,-0.07557881621,-0.01433794233
PBG002,3857,0.15,  0.50 ,  0.50 ,45050,  0.69 ,2338283,500,4,16,1,0,0,2,1,"  2,157 ",Perdesaan, primary ,  805.95 ,-7.392897,109.353876,"  142,683,333 ",-7.395127,109.352592,0.2223942326,0.1110041102,-0.02127845653,0.1000876617,0.07680727104,0.01920239528,-0.02265445878,-0.01632133105,0.1427977811,-0.04092723321,-0.01457887161
SBR008,1339,0.12,  0.50 ,  0.50 ,58220,  0.69 ,2681382,500,8,5,1,2,0,1,1,"  2,133 ",Perdesaan, tertiary ,  - ,-6.872468,108.721792,"  368,950,000 ",-6.873408,108.721664,0.2338457754,0.06078887892,0.006407954363,0.1094934756,0.07004801552,0.04750789922,-0.03213271776,-0.02384146409,0.1461515723,-0.04107211352,-0.01552450312
SOR009,852,0.06,  0.51 ,  0.49 ,124561,  0.69 ,3757284,600,2,4,1,0,0,0,1,"  2,132 ",Perdesaan, primary ,  - ,-7.035651,107.753380,"  385,658,333 ",-7.043576,107.757622,0.2455333894,0.07520036958,0.1868131852,0.04515136276,0.05122167007,0.05011532019,-0.01274795646,0.08850076072,0.1517599497,0.01389389378,-0.009253290871
CKR020,205,0.05,  0.51 ,  0.49 ,177419,  0.69 ,5558515,600,8,9,1,1,0,4,1,"  2,123 ",Perdesaan, primary ,  - ,-6.294532,107.148168,"  568,200,000 ",-6.294573,107.148117,0.2470292757,-0.1935894965,-0.1132576684,0.187754993,0.01483917413,0.09615946642,0.3179803824,0.0319346456,0.1687447234,-0.1519272212,-0.01596908023
KJN004,5073,0.09,  0.51 ,  0.49 ,57906,  0.68 ,2486653,700,5,8,1,1,0,1,1,"  2,122 ",Perdesaan, primary ,  - ,-7.026345,109.579110,"  263,491,667 ",-7.025692,109.581726,0.2337314591,0.1036704141,-0.01871942497,0.1098984378,0.07823810758,0.01597927212,-0.02701758689,-0.02025426744,0.1407151281,-0.04749453705,-0.01461762817
SBM007,182,0.07,  0.51 ,  0.49 ,97941,  0.68 ,3604482,1000,9,3,1,0,0,2,1,"  2,111 ",Perdesaan, trunk ,  - ,-6.911538,106.896820,"  829,225,000 ",-6.911712,106.897278,0.02588812807,-0.1298426572,-0.02265184006,0.1080913895,-0.018133326,0.02397302482,0.121951953,0.02225383846,0.2142603491,0.132714701,-0.006106503063
IDM014,2218,0.12,  0.50 ,  0.50 ,46605,  0.70 ,2794237,400,4,6,0,2,0,1,1,"  2,097 ",Perdesaan, secondary ,  - ,-6.546932,108.284990,"  205,666,667 ",-6.547231,108.285240,0.2521293064,0.01113759982,0.07658933626,0.1285812506,0.05146487771,0.08667404302,-0.03883805269,-0.01600005353,0.1424748193,-0.03261670718,-0.01430311123
BKS023,331,0.05,  0.50 ,  0.50 ,204845,  0.70 ,5558515,500,5,6,1,0,0,2,1,"  2,072 ",Perdesaan, primary ,"  1,034.83 ",-6.229110,106.954821,"  602,366,667 ",-6.229874,106.957108,0.6694621214,-0.1201308721,-0.04116780888,0.1638591144,0.01871152673,0.08396065403,0.6965943021,-0.01661362052,0.2621588082,-0.5073805175,-0.0163892316
KNG003,1559,0.12,  0.50 ,  0.50 ,36594,  0.69 ,2209519,500,4,9,1,1,0,0,1,"  2,044 ",Perdesaan, residential ,  - ,-7.018057,108.638173,"  437,341,667 ",-7.014577,108.625671,0.2275933172,0.06710068618,0.007293622013,0.1018773015,0.06905668017,0.0495399747,-0.02874648259,-0.01902124094,0.1467304675,-0.03643179953,-0.01503433996
PML003,3443,0.15,  0.51 ,  0.49 ,75763,  0.69 ,2296140,450,4,7,1,0,1,1,1,"  2,040 ",Perdesaan, secondary ,  - ,-6.900165,109.533200,"  426,783,333 ",-6.899279,109.533066,0.236249047,0.09902570766,-0.01703240894,0.1127985587,0.07818133977,0.01746427803,-0.02862612991,-0.02211035088,0.1409142446,-0.04886456492,-0.01487075781
